transaction_id,date,account_code,account_name,debit,credit,description,reference
1,2024-11-23,1200,Accounts Receivable,0.0,1260.29,Salary Payment,REF000001
2,2024-04-24,1500,Inventory,36826.2,0.0,Adjustment Entry,REF000002
3,2024-08-04,1000,Cash,1499.56,0.0,Salary Payment,REF000003
4,2024-09-15,5100,Rent Expense,1336.53,0.0,Interest Payment,REF000004
5,2024-11-28,6000,Marketing Expense,27251.62,0.0,Purchase Order,REF000005
6,2024-10-28,2000,Accounts Payable,40473.43,0.0,Supplier Payment,REF000006
7,2024-12-23,3000,Revenue,17019.12,0.0,Salary Payment,REF000007
8,2024-06-21,1200,Accounts Receivable,4646.36,0.0,Utility Bill,REF000008
9,2024-06-25,5100,Rent Expense,13233.4,0.0,Interest Payment,REF000009
10,2024-08-23,5000,Salaries Expense,0.0,6250.06,Customer Payment,REF000010
11,2024-10-09,2000,Accounts Payable,0.0,41471.94,Adjustment Entry,REF000011
12,2024-04-08,6000,Marketing Expense,3487.06,0.0,Rent Payment,REF000012
13,2024-02-10,1700,Prepaid Expenses,0.0,43325.52,Rent Payment,REF000013
14,2024-08-20,5200,Utilities Expense,41707.18,0.0,Utility Bill,REF000014
15,2024-06-30,1700,Prepaid Expenses,33512.06,0.0,Adjustment Entry,REF000015
16,2024-11-21,1500,Inventory,26711.65,0.0,Supplier Payment,REF000016
17,2024-08-24,3000,Revenue,13504.69,0.0,Depreciation,REF000017
18,2024-06-15,1000,Cash,11460.11,0.0,Utility Bill,REF000018
19,2024-07-24,2000,Accounts Payable,0.0,3318.77,Salary Payment,REF000019
20,2024-12-01,4000,Cost of Goods Sold,0.0,19787.64,Supplier Payment,REF000020
21,2024-05-15,1500,Inventory,0.0,12338.91,Interest Payment,REF000021
22,2024-10-26,3000,Revenue,0.0,44892.17,Utility Bill,REF000022
23,2024-04-22,1500,Inventory,25481.22,0.0,Monthly Invoice,REF000023
24,2024-02-26,1500,Inventory,0.0,31376.03,Adjustment Entry,REF000024
25,2024-02-02,3000,Revenue,0.0,19087.15,Bank Transfer,REF000025
26,2024-05-08,5000,Salaries Expense,43040.38,0.0,Depreciation,REF000026
27,2024-02-28,5200,Utilities Expense,0.0,44240.57,Depreciation,REF000027
28,2024-06-23,1200,Accounts Receivable,14682.07,0.0,Purchase Order,REF000028
29,2024-01-02,6000,Marketing Expense,0.0,43793.89,Bank Transfer,REF000029
30,2024-04-01,5000,Salaries Expense,0.0,45632.27,Depreciation,REF000030
31,2024-09-16,5100,Rent Expense,0.0,9953.57,Supplier Payment,REF000031
32,2024-10-03,5000,Salaries Expense,0.0,45925.49,Purchase Order,REF000032
33,2024-01-10,1200,Accounts Receivable,0.0,46455.64,Salary Payment,REF000033
34,2024-01-30,1700,Prepaid Expenses,43901.7,0.0,Customer Payment,REF000034
35,2024-09-05,1200,Accounts Receivable,48899.44,0.0,Supplier Payment,REF000035
36,2024-12-03,4000,Cost of Goods Sold,47342.97,0.0,Rent Payment,REF000036
37,2024-09-27,5100,Rent Expense,21162.67,0.0,Bank Transfer,REF000037
38,2024-12-19,1700,Prepaid Expenses,0.0,35650.32,Depreciation,REF000038
39,2024-11-28,2100,Accrued Liabilities,0.0,21910.62,Customer Payment,REF000039
40,2024-05-06,1700,Prepaid Expenses,3210.65,0.0,Adjustment Entry,REF000040
41,2024-10-10,1700,Prepaid Expenses,29426.12,0.0,Customer Payment,REF000041
42,2024-12-28,5200,Utilities Expense,2953.1,0.0,Monthly Invoice,REF000042
43,2024-06-18,1200,Accounts Receivable,0.0,25712.66,Depreciation,REF000043
44,2024-09-05,1700,Prepaid Expenses,0.0,26966.3,Salary Payment,REF000044
45,2024-08-30,3000,Revenue,9528.59,0.0,Depreciation,REF000045
46,2024-08-08,2100,Accrued Liabilities,0.0,21184.7,Interest Payment,REF000046
47,2024-01-28,5200,Utilities Expense,32676.24,0.0,Monthly Invoice,REF000047
48,2024-07-25,6000,Marketing Expense,16971.74,0.0,Salary Payment,REF000048
49,2024-04-08,1700,Prepaid Expenses,26818.92,0.0,Sales Transaction,REF000049
50,2024-04-03,2000,Accounts Payable,23136.78,0.0,Purchase Order,REF000050
51,2024-10-08,1200,Accounts Receivable,2538.91,0.0,Customer Payment,REF000051
52,2024-05-01,1500,Inventory,0.0,20326.64,Salary Payment,REF000052
53,2024-07-24,1000,Cash,8240.21,0.0,Sales Transaction,REF000053
54,2024-05-15,4000,Cost of Goods Sold,0.0,14269.61,Supplier Payment,REF000054
55,2024-04-07,2000,Accounts Payable,10892.87,0.0,Adjustment Entry,REF000055
56,2024-10-04,1000,Cash,37401.3,0.0,Monthly Invoice,REF000056
57,2024-10-26,4000,Cost of Goods Sold,25147.49,0.0,Monthly Invoice,REF000057
58,2024-09-17,1200,Accounts Receivable,42568.61,0.0,Adjustment Entry,REF000058
59,2024-02-04,5200,Utilities Expense,0.0,43092.35,Customer Payment,REF000059
60,2024-10-18,1700,Prepaid Expenses,28950.16,0.0,Adjustment Entry,REF000060
61,2024-02-11,3000,Revenue,0.0,32872.08,Rent Payment,REF000061
62,2024-04-14,5200,Utilities Expense,35812.43,0.0,Rent Payment,REF000062
63,2024-07-21,1500,Inventory,0.0,33587.79,Purchase Order,REF000063
64,2024-06-10,1200,Accounts Receivable,475.68,0.0,Customer Payment,REF000064
65,2024-10-02,1700,Prepaid Expenses,25299.18,0.0,Utility Bill,REF000065
66,2024-02-05,1700,Prepaid Expenses,18482.66,0.0,Purchase Order,REF000066
67,2024-10-05,6000,Marketing Expense,15132.83,0.0,Depreciation,REF000067
68,2024-10-10,2000,Accounts Payable,46588.48,0.0,Supplier Payment,REF000068
69,2024-05-15,1200,Accounts Receivable,44486.74,0.0,Rent Payment,REF000069
70,2024-05-24,5100,Rent Expense,0.0,10539.38,Salary Payment,REF000070
71,2024-12-17,5200,Utilities Expense,0.0,42647.11,Rent Payment,REF000071
72,2024-01-27,1200,Accounts Receivable,0.0,31717.88,Monthly Invoice,REF000072
73,2024-01-02,2100,Accrued Liabilities,0.0,38558.25,Supplier Payment,REF000073
74,2024-08-14,5000,Salaries Expense,35286.32,0.0,Customer Payment,REF000074
75,2024-02-08,6000,Marketing Expense,45197.39,0.0,Utility Bill,REF000075
